id,nome,rango,intervallo_iniziale,intervallo_finale,eta_massima,eta_minima,longitudine,latitudine,codice_paese,stato_regione,formazione,gruppo_geologico,phylum,classe,ordine,famiglia,genere,origine_dataset,fonte_riempimento_tassonomia
219971,Diplodocus longus,species,Kimmeridgian,Tithonian,154.8,143.1,-106.048615,42.017776,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Diplodocus,0,dataset_extra_dinosauri
219972,Camarasaurus,genus,Kimmeridgian,Tithonian,154.8,143.1,-106.048615,42.017776,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Camarasauridae,Camarasaurus,0,dataset_extra_dinosauri
219973,Stegosaurus stenops,species,Kimmeridgian,Tithonian,154.8,143.1,-106.048615,42.017776,US,Wyoming,Morrison,,Chordata,Ornithischia,Ornithischia,Stegosauridae,Stegosaurus,0,dataset_extra_dinosauri
219974,Brontosaurus excelsus,species,Kimmeridgian,Tithonian,154.8,143.1,-106.048615,42.017776,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Brontosaurus,0,dataset_extra_dinosauri
219975,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1,-106.048615,42.017776,US,Wyoming,Morrison,,Chordata,Reptilia,Saurischia,Allosauridae,Allosaurus,0,dataset_extra_dinosauri
219979,Apatosaurinae,subfamily,Late Kimmeridgian,,152.21,149.2,-108.120003,43.380001,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,,0,post_dataset_extra_famiglia_to_ordine
219980,Camarasaurus lentus,species,Late Kimmeridgian,,152.21,149.2,-108.120003,43.380001,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Camarasauridae,Camarasaurus,0,dataset_extra_dinosauri
219990,Prosaurolophus maximus,species,Late Campanian,,83.6,72.2,-113.75,48.630001,US,Montana,Two Medicine,Montana,Chordata,Ornithischia,Ornithischia,Hadrosauridae,Prosaurolophus,0,dataset_extra_dinosauri
219992,Maiasaura peeblesorum,species,Middle Campanian,,83.6,72.2,-113.75,48.633301,US,Montana,Two Medicine,Montana,Chordata,Ornithischia,Ornithischia,Hadrosauridae,Maiasaura,0,dataset_extra_dinosauri
219993,Orodromeus makelai,species,Middle Campanian,,83.6,72.2,-113.75,48.633301,US,Montana,Two Medicine,Montana,Chordata,Ornithischia,Ornithischia,Thescelosauridae,Orodromeus,0,dataset_extra_dinosauri
219997,Hadrosauridae,family,Late Campanian,,83.6,72.2,-111.525871,50.728848,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
219998,Tyrannosauridae,family,Late Campanian,,83.6,72.2,-111.525871,50.728848,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,,0,post_dataset_extra_famiglia_to_ordine
219999,Ornithomimidae,family,Late Campanian,,83.6,72.2,-111.525871,50.728848,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Ornithomimidae,,0,post_dataset_extra_famiglia_to_ordine
220000,Nodosaurus,genus,Late Campanian,,83.6,72.2,-111.525871,50.728848,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Nodosauridae,Nodosaurus,0,dataset_extra_dinosauri
220003,Hadrosauridae,family,Late Campanian,,83.6,72.2,-111.513893,50.734207,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
220004,Chasmosaurus,genus,Late Campanian,,83.6,72.2,-111.513893,50.734207,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Chasmosaurus,0,dataset_extra_dinosauri
220008,Hadrosauridae,family,Late Campanian,,83.6,72.2,-111.524582,50.727234,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
220009,Tyrannosaurus rex,species,Late Campanian,,83.6,72.2,-111.524582,50.727234,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Tyrannosauridae,Tyrannosaurus,0,dataset_extra_dinosauri
220010,Centrosaurus apertus,species,Late Campanian,,83.6,72.2,-111.524582,50.727234,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,Centrosaurus,0,dataset_extra_dinosauri
220011,Velociraptor,genus,Late Campanian,,83.6,72.2,-111.524582,50.727234,CA,Alberta,Dinosaur Park,Belly River,Chordata,Reptilia,Saurischia,Dromaeosauridae,Velociraptor,0,dataset_extra_dinosauri
